text,label
Barakallah alhamdulillah ya allah mental gw sedikit terselamatkan sama kewarasan timnas yg main malam ini THANKS A LOT GUYS!!! KALIAANN KLO CHEMISTRY NYA NYATU EMG SELALU KEREENNN DAN GG MEMANG GG SEKALI HUUHHH GOCEKANNYA TEKELANNYA JIWA PREMAN MAIN SEMUA KLEN YH SUKA AKUÃ¯Â¸Â,positif
@idextratime @kapalapi_id 3-0 sih harusnya td klo aja Marceng sm Reijners bisa manfaatin peluang terbuka depan gawang Bahrain.But overall keren mainnya timnas malam ini teruma Rizky Ridho yg tampil luar biasa.Beneran local pride #GarudaMendunia #TimnasIndonesia #IndonesiavsBahrain #Roadto26,positif
Nice. Very well. Masih perlu banyak perbaikan di sana sini. Patut disyukuri juga Bahrain nggak tampil sebagus lawan Jepang kmaren.,positif
Ole top Pelupessy balance lini belakang solid. Terima kasih pemain seluruh staf dan supporter timnas #TimnasDay #TimnasIndonesia,positif
@alkabcdef @idextratime yah sdh di jelaskan kan saya senang lihat permainan @TimnasIndonesia kemarin sore semoga next bisa menang yah,positif
@nasi_uduk89 @idextratime iya nggak suka lihat permainan Mourinho saat di MU ha ha... Parkir Bus kemarin @TimnasIndonesia Indonesia keren banget walaupun kalah semoga next bisa menang yah,positif
@jaia1933 @idextratime iya semoga next bisa menang yah @TimnasIndonesia kita #garudamendunia,positif
@Lukh_sy @idextratime ya. opini orang boleh berbeda kan saya sukak aja lihat @TimnasIndonesia bermain kemarin sore walaupun kalah semoga next bisa menang,positif
@Sam_ori96 @bimasakti_kr @idextratime kerjaan mah sdh banyak ini fix hobby aja nonton @TimnasIndonesia permainan nya keren banget walaupun kalah semoga next bisa memang semangat buat #Timnas #garudamendunia,positif
@Sigit28387350 @idextratime iya setuju sekelas Ausie bertahan loh ha ha mangkanya seneng banget lihat permainan @TimnasIndonesia walaupun kalah semoga next bisa menang,positif
@The_menteri @idextratime yah opini orang boleh berbeda beda kan ? yang saya lihat kemarin sore @TimnasIndonesia kita tuh keren banget main nya walaupun kalah semoga next bisa menang yah,positif
@bayylazuardi @idextratime ya sdh di catat kan semua hasil yang kita lihat yang saya lihat itu seneng banget lihat permainan @TimnasIndonesia kayak gitu kemarin sore walaupun kalah semoga next bisa menang yah,positif
@nrwikaputra @idextratime walaupun tidak dapat point tapi memang keren banget main nya semoga next bisa dapatkan point maksimal yah buat @TimnasIndonesia,positif
@FebbyArmis @idextratime ngga ngerti maksudnya walaupun kalah tapi memang keren permainan @TimnasIndonesia kemarin sore semoga next bisa menang yah,positif
@Lokaaaalpred @idextratime semoga next bisa menang yah... @TimnasIndonesia yang kemarin main super keren,positif
@dan_kenapa @idextratime iya opini kan bebas saja memang betul kemarin itu keren banget lihat @TimnasIndonesia walaupun kalah semoga next bisa menang yah,positif
@orionyd_05 @idextratime ya berbeda pendapat boleh donk ? seneng aja lihat permainan @TimnasIndonesia kemarin walaupun kalah dan semoga bisa tampil lebih baik lagi lawan lawan berikutnya ,positif
@nunu_candra19 @idextratime yah seneng aja lihat @TimnasIndonesia main seperti itu kemarin sore meskipun kalah semoga next bisa menang dan lebih keren lagi,positif
@kanggosteng @idextratime sarkas apa itu ? kurang paham arti nya intinya opini saya seperti itu melihat pertandingan kemarin sore dan seneng banget bangga @TimnasIndonesia bermain seperti itu semoga next bisa menang yah.,positif
